video_id,title,video_type,duration_sec,view_count,like_count,comment_count,published_at,jp_ratio,en_ratio,other_ratio,overseas_total_ratio
qFU6GiVJksg,SixTONES 京本大我ソロ【２人で回転寿司を食べ尽くせ】意外に大食いなんです!?,Regular,1646.0,784478,30844,2333,2025-12-16T13:01:45Z,0.97,0.0,0.03,0.03
XUveiH2Wlqc,SixTONES 田中樹ソロ【相関図を巡る旅】ブチギレ氏原(fromうじとうえだ)が秘密暴露!?,Regular,1588.0,1087786,33406,1695,2025-12-15T13:01:10Z,0.99,0.0,0.01,0.01
KXxj01EWGQQ,SixTONES【京本大我ファッション改造計画】オレ…お洒落になる！,Regular,957.0,1861585,52168,3864,2025-12-12T13:00:45Z,1.0,0.0,0.0,0.0
ghLxhcksWuY,SixTONES 京本大我ソロ【本気で泥団子を作る】なぜかもう中学生と一緒!?,Regular,1065.0,552876,34657,4000,2025-12-09T13:01:24Z,0.98,0.0,0.02,0.02
RSHYV14Vbfs,【SixTONES 6周年企画】Live 映像を観て語り合おう⽣配信,Regular,3932.0,1431978,54682,1852,2025-12-06T12:26:09Z,0.9183673469387755,0.01020408163265306,0.07142857142857142,0.08163265306122448
ttEtolANrJk,SixTONES – Amazing!!!!!! [YouTube ver.],Regular,162.0,11202649,118732,23025,2025-12-05T13:01:56Z,0.95,0.0,0.05,0.05
Dnxfyxm5HOM,SixTONES【正体をバラしちゃいます】６人の超能力をガチで見せます,Regular,1112.0,740535,35137,2289,2025-11-28T13:00:35Z,0.98,0.0,0.02,0.02
A88dBbud3xo,SixTONES【俺たち芸術家】秋といえば…粘土で思い出をアートに🎨,Regular,815.0,685200,33022,2124,2025-11-21T13:00:31Z,1.0,0.0,0.0,0.0
x0oOitbmArw,SixTONES【サンマを食べ尽くせ！】勝手に最強レシピ選手権~第2弾,Regular,949.0,1006164,37674,2367,2025-11-14T13:02:07Z,0.9895833333333334,0.0,0.010416666666666666,0.010416666666666666
DtoBPbg5OfA,SixTONES【ついに…SYP始動】本気でメンバーが企画考えた!!!!!!,Regular,3447.0,1662469,47093,3732,2025-11-07T12:00:06Z,0.979381443298969,0.0,0.020618556701030927,0.020618556701030927
