title,video_type,duration_sec,view_count,like_count,comment_count,published_at,video_id
#川島如恵留 #Noel #陰ニモ日向ニモ 4.15.2026(Wed) 2nd CD Single Release #TravisJapan #ニモニモ,Shorts,17.0,89865,7573,264,2026-03-23T12:00:01Z,aMV8KLpuGm0
#七五三掛龍也 #Shime #陰ニモ日向ニモ 4.15.2026(Wed) 2nd CD Single Release #TravisJapan #ニモニモ,Shorts,17.0,87496,8387,157,2026-03-22T11:00:38Z,OOUO_vGMIQA
#中村海人 #Umi #陰ニモ日向ニモ 4.15.2026(Wed) 2nd CD Single Release #TravisJapan #ニモニモ,Shorts,17.0,125849,9151,223,2026-03-21T11:00:22Z,Gdce5LKGppg
#宮近海斗#Chaka #陰ニモ日向ニモ 4.15.2026(Wed) 2nd CD Single Release #TravisJapan #ニモニモ,Shorts,17.0,116726,10186,181,2026-03-20T11:00:51Z,RMipt4VlMCg
少し控えめに☺️#TravisJapan #陰ニモ日向ニモ #ニモニモ #Mステ,Shorts,22.0,213846,13955,197,2026-03-19T11:25:58Z,9hnQQu7Y8Tw
あれれ？🤫💚💛#TravisJapan #陰ニモ日向ニモ #ニモニモ #Mステ,Shorts,21.0,231049,14032,258,2026-03-18T11:01:41Z,vdp5UO2sTWE
ティッシュ持ったまま踊る人がいた😂#TravisJapan #陰ニモ日向ニモ #ニモニモ #Ｍステ,Shorts,32.0,205333,13553,263,2026-03-17T11:00:55Z,VeZB4YfmEG4
ニモニモ🪥#TravisJapan #stravelers #陰ニモ日向ニモ #松田元太 #名古屋,Shorts,31.0,142582,11048,272,2026-03-16T11:01:41Z,xBGErh9YoC8
次は大阪！🐙#TravisJapan #stravelers #OShanTee #愛知,Shorts,25.0,200190,13190,168,2026-03-15T11:00:54Z,UArrIJWToCA
Travis Japan Concert Tour 2026 's travelers日本ガイシホール Day2🪩#TravisJapan #stravelers #OShanTee,Shorts,26.0,170590,10224,122,2026-03-13T13:02:02Z,IWCJygquND0
Travis Japan Concert Tour 2026 's travelers日本ガイシホール day 1🍓#TravisJapan #stravelers #陰ニモ日向ニモ,Shorts,27.0,256456,13423,144,2026-03-13T13:00:44Z,LnMoTOPPPpE
Travis Japan【バスケ】球技しようぜ！第一弾🏀　#TravisJapan #トラジャ #バスケ #球技,Shorts,54.0,172299,15288,657,2026-03-13T12:00:43Z,N6Yec0LrJ1c
オフになった瞬間🎶#TravisJapan #陰ニモ日向ニモ #ニモニモ,Shorts,18.0,132273,11098,189,2026-03-09T12:00:48Z,SQyXEPU1Exc
📸#TravisJapan #陰ニモ日向ニモ #ニモニモ,Shorts,17.0,128592,11185,173,2026-03-08T11:01:21Z,rgftkOTvIFA
⚫️⚪️#TravisJapan #陰ニモ日向ニモ #ニモニモ,Shorts,17.0,135773,11393,195,2026-03-07T11:01:24Z,q9ODHVAJcWY
Travis Japan【ぷよテト】ガチ対決！ぷよぷよ™テトリス®２　#TravisJapan #トラジャ #ぷよテト #ゲーム,Shorts,53.0,170564,13565,362,2026-03-06T12:00:18Z,6A8rukdAroc
あれ？元太いない？😂#TravisJapan #陰ニモ日向ニモ #ニモニモ,Shorts,30.0,231198,14161,213,2026-03-06T10:13:35Z,lNCyq4FZXEk
ちょっとだけチラ見せ👀#TravisJapan #陰ニモ日向ニモ #ニモニモ,Shorts,31.0,136231,12613,340,2026-03-05T11:00:42Z,QiNT3TPHrvo
公演は間に合ったよね💙🐯#TravisJapan #陰ニモ日向ニモ #ニモニモ #川島如恵留 #松倉海斗,Shorts,34.0,210477,14531,271,2026-03-04T11:01:28Z,vo_DKxx4-zg
ステージの裏で🕺#TravisJapan #踊らなきゃ損 #川島如恵留 #Noel #MENSA,Shorts,22.0,206696,13160,497,2026-03-03T11:00:01Z,a5IsAEGKd_4
お前ら、踊らなきゃ損だぞ🤣#TravisJapan #踊らなきゃ損 #北海道,Shorts,30.0,195350,14687,285,2026-03-02T11:00:01Z,-zwdlfeWnyY
俺の？On&on？オレオ？#TravisJapan #陰ニモ日向ニモ #ニモニモ #中村海人,Shorts,11.0,352784,20105,600,2026-03-02T08:00:32Z,M0Hu9CKooI8
北海道おしゃんてぃ〜#TravisJapan #OshanTee #北海道 #宮近海斗 #七五三掛龍也,Shorts,19.0,154144,12421,273,2026-03-01T11:01:19Z,tQKZp4XWDCk
#陰ニモ日向ニモ w/ #Oguri @stkgz #TravisJapan #stkgz #シットキングス,Shorts,33.0,330318,18088,235,2026-02-28T11:01:11Z,daPa-vTj--U
Travis Japan【予備校開催 第2弾】げんた大暴走！？　#TravisJapan #トラジャ #クイズ #予備校,Shorts,60.0,181759,15484,525,2026-02-27T12:00:24Z,8-QwusZspiw
'陰ニモ日向ニモ' - Performance Video - #TravisJapan #陰ニモ日向ニモ #ニモニモ #stravelers,Shorts,35.0,282164,16213,260,2026-02-27T10:18:45Z,xBjXkrnaSTY
'陰ニモ日向ニモ' Solo Dance #Machu ver.⚪️⚫️#TravisJapan #陰ニモ日向ニモ #ニモニモ #松倉海斗,Shorts,30.0,440988,19423,586,2026-02-26T12:01:14Z,iwQn7pXttuA
'陰ニモ日向ニモ' Solo Dance #Genta ver.⚪️⚫️#TravisJapan #陰ニモ日向ニモ #ニモニモ #松田元太,Shorts,33.0,431529,16469,379,2026-02-25T12:01:26Z,lnm2ZIhmFes
'陰ニモ日向ニモ' Solo Dance #Shizu ver.⚪️⚫️#TravisJapan #陰ニモ日向ニモ #ニモニモ #吉澤閑也,Shorts,29.0,366544,14425,698,2026-02-24T11:01:17Z,hrScpeQPjSA
'陰ニモ日向ニモ' Solo Dance #Noel ver.⚪️⚫️#TravisJapan #陰ニモ日向ニモ #ニモニモ #川島如恵留,Shorts,32.0,307186,14656,447,2026-02-23T11:00:16Z,Dz2F7o5Xx18
'陰ニモ日向ニモ' Solo Dance #Shime ver.⚪️⚫️#TravisJapan #陰ニモ日向ニモ #ニモニモ #七五三掛龍也,Shorts,31.0,435371,17860,444,2026-02-21T13:00:46Z,RUgAPz1Z_Vk
Travis Japan【ランキング】順位を決めてから何のランキングか考えてみた。,Shorts,46.0,198088,13947,363,2026-02-20T12:01:06Z,e0g0_YEv3KQ
'陰ニモ日向ニモ' Solo Dance #Umi ver.⚪️⚫️#TravisJapan #陰ニモ日向ニモ #ニモニモ #中村海人,Shorts,32.0,417615,18437,613,2026-02-20T11:01:32Z,opCiyrY02fc
'陰ニモ日向ニモ' Solo Dance #Chaka ver.⚪️⚫️#TravisJapan #陰ニモ日向ニモ #ニモニモ #宮近海斗,Shorts,32.0,455692,21341,828,2026-02-19T10:00:47Z,VkUsNus4S2Y
