video_id,title,video_type,duration_sec,view_count,like_count,comment_count,published_at,jp_ratio,en_ratio,other_ratio,overseas_total_ratio
bYy2cEgQcdE,Travis Japan【予備校開催 第２弾】げんた大暴走！問題を読むだけなのにぃ～📚,Regular,1455.0,456685,16614,1775,2026-02-28T12:01:05Z,0.99,0.01,0.0,0.01
rQ5_cSaC5_s,Travis Japan – '陰ニモ日向ニモ' - Performance Video,Regular,190.0,1899604,32744,6983,2026-02-27T10:01:30Z,0.98989898989899,0.0,0.010101010101010102,0.010101010101010102
07Upu4UYQbQ,【JUST!シン日本遺産】シーズン２　# 20をちら見せ「高知県馬路村名物“ゆず”を使ったシンゆず料理を開発！！」続きはTELASAで,Regular,752.0,50337,3494,300,2026-02-25T23:00:01Z,1.0,0.0,0.0,0.0
c1SjDte71ic,#12 のえさんとカーニバル師匠♪,Regular,1564.0,22686,1938,64,2026-02-25T09:23:00Z,1.0,0.0,0.0,0.0
BmrvhIHCAHA,Travis Japan【ランキング】メンバーの順位を決めてから内容を考えたら酷いランキングになった!?,Regular,1412.0,528083,17654,1800,2026-02-21T12:00:21Z,0.9897959183673469,0.01020408163265306,0.0,0.01020408163265306
yjkTBFVA7pQ,【JUST!シン日本遺産】シーズン２　# 19をちら見せ「 “どさんこ”に乗り英雄になるべく向かった先で体験するのはあの伝統武芸！」続きはTELASAで,Regular,730.0,35688,3143,170,2026-02-18T23:01:15Z,1.0,0.0,0.0,0.0
G2pW_c69dZM,#11 Wカイトが呼び合う時は！？,Regular,1734.0,40251,2655,74,2026-02-18T09:24:01Z,0.9722222222222222,0.0,0.027777777777777776,0.027777777777777776
JAbLbKqZ1RY,Travis Japan – '陰ニモ日向ニモ' Music Video,Regular,179.0,6766182,53776,43465,2026-02-16T09:00:07Z,0.98989898989899,0.010101010101010102,0.0,0.010101010101010102
1I7rxZUf7cw,Travis Japan【カラオケ対決】｢愛のかたまり｣ガチ熱唱！Happy Valentine’s day💜,Regular,1670.0,813485,25300,2454,2026-02-14T12:00:06Z,0.98989898989899,0.0,0.010101010101010102,0.010101010101010102
rJgm0iwBXBw,【JUST!シン日本遺産】シーズン２　# 18をちら見せ「大雨から一転快晴の函館編 湖で船に乗り込んだ２人はあの魚の漁を体験！」続きはTELASAで,Regular,619.0,35645,3160,120,2026-02-11T23:01:10Z,0.98,0.0,0.02,0.02
_AxIo7SAKf4,#10 カイト＆カイト！！,Regular,1302.0,34932,2765,67,2026-02-11T09:44:00Z,0.9402985074626866,0.014925373134328358,0.04477611940298507,0.05970149253731343
m3EPu2YWsVE,Travis Japan【画伯爆誕】2025年 虎Tubeの思い出をイラストで語ろうぜ！,Regular,1201.0,306980,12106,1006,2026-02-07T12:01:23Z,1.0,0.0,0.0,0.0
oHbWmyaGOjM,【JUST!シン日本遺産】シーズン２　# 17をちら見せ「大雨の函館編 ハプニングを乗り越えてシン日本遺産に辿り着くことは出来るのか？」続きはTELASAで,Regular,632.0,53512,3520,118,2026-02-04T23:01:07Z,1.0,0.0,0.0,0.0
hNdyfcDITaA,#9 叱咤激励からはじまります笑,Regular,1554.0,40602,2726,85,2026-02-04T09:28:00Z,0.9759036144578314,0.0,0.024096385542168676,0.024096385542168676
1q8iqNvSBdY,Travis Japan【大喜利】これは誰のボケ？わかるに決まってるじゃん！,Regular,1445.0,263267,11571,1015,2026-01-31T12:00:03Z,0.98,0.01,0.01,0.02
57ibx0IUgbQ,【JUST!シン日本遺産】シーズン２　# 16をちら見せ「大人の軽井沢ロケ“アダルザワ”完結&ハプニング必至大雨の函館編始動！！」続きはTELASAで,Regular,618.0,53692,3814,198,2026-01-28T23:00:13Z,0.98989898989899,0.0,0.010101010101010102,0.010101010101010102
Uxsg0HThvb0,#8 メンバーが番組に✉️を送る際も・・・！？,Regular,1235.0,33710,2496,73,2026-01-28T09:25:01Z,0.9305555555555556,0.0,0.06944444444444445,0.06944444444444445
O2dJ8yM9z4c,Travis Japan【プライベートカラオケ】アルバムが出たからカラオケで歌いまくろうぜい🎤,Regular,2849.0,561491,20428,4091,2026-01-24T12:00:46Z,0.9393939393939394,0.0,0.060606060606060615,0.060606060606060615
ZVAvIKIZviA,【JUST!シン日本遺産premium】「第１弾はシンスポーツ遺産！まくら投げの魅力を体感！！」続きはTELASAで,Regular,730.0,113379,6360,243,2026-01-21T23:15:02Z,0.98989898989899,0.010101010101010102,0.0,0.010101010101010102
cfYnT45sZFU,【JUST!シン日本遺産】シーズン２　# 15をちら見せ「夜の森で名カメラマン対決！延長戦！」続きはTELASAで,Regular,573.0,27267,2578,84,2026-01-21T23:00:50Z,0.963855421686747,0.012048192771084338,0.024096385542168676,0.03614457831325302
sYf0e1WD7xc,#7 今回も川松ペアがお届け！,Regular,1756.0,30115,2382,83,2026-01-21T09:24:06Z,0.975609756097561,0.012195121951219513,0.012195121951219513,0.024390243902439025
zagxFHnzpNI,Travis Japan【桃鉄２ 後編】鉄道王に俺はなる！まったりゆったりプレイ🎮,Regular,5308.0,217570,7796,949,2026-01-17T12:01:52Z,0.99,0.0,0.01,0.01
t3uv3gCK1R8,【JUST!シン日本遺産】シーズン２　# 14をちら見せ「信州が誇る食の究極 そば」続きはTELASAで,Regular,524.0,58837,3805,147,2026-01-14T23:01:30Z,0.9696969696969697,0.010101010101010102,0.020202020202020204,0.030303030303030304
TXDu0bmz-HA,#6 2026年最初にお届けするのはこのペア！！,Regular,1773.0,43995,3207,109,2026-01-14T09:33:00Z,0.94,0.03,0.03,0.06
hGn0vjMRrwY,Travis Japan【桃鉄２ 前編】鉄道王に俺はなる！まったりゆったりプレイ🎮,Regular,4287.0,321840,10322,1308,2026-01-10T12:01:15Z,1.0,0.0,0.0,0.0
5kCeyyzMTIY,【JUST!シン日本遺産】シーズン２　# 13をちら見せ「大人の軽井沢ロケ“アダルザワ”」続きはTELASAで,Regular,735.0,89037,6185,230,2026-01-07T23:00:12Z,0.98989898989899,0.010101010101010102,0.0,0.010101010101010102
Q5T1Q1f7qIY,#5 吉松ペアでお届け！,Regular,1221.0,29263,2326,74,2026-01-07T09:45:05Z,0.9863013698630136,0.0,0.0136986301369863,0.0136986301369863
Xy8dfCJ-frQ,Travis Japan【全国プロモーション】「’s travelers」発売記念。密着したら大忙し！？,Regular,1062.0,184024,10700,908,2026-01-03T12:01:07Z,0.97,0.02,0.01,0.03
ZTUwLCXlZSc,Travis Japan【謹賀新年】あけおめ恒例！2026年にやりたいこと大発表🎍,Regular,538.0,210807,13930,1088,2026-01-01T03:00:57Z,1.0,0.0,0.0,0.0
aI_JrMqMVfE,#4 今日から二人体制でお届けします♫,Regular,1161.0,43169,2680,55,2025-12-31T09:15:00Z,1.0,0.0,0.0,0.0
t0gVV2V71kY,Travis Japan【無音ダンス】Disco Babyでついに本領発揮！音がなくてもシンクロ達成！？,Regular,1070.0,518275,18142,1241,2025-12-27T12:01:43Z,0.9696969696969697,0.010101010101010102,0.020202020202020204,0.030303030303030304
lJK5xjfTVSE,【JUST!シン日本遺産】シーズン２　# １２をちら見せ「自分の運命がわかる!?予言の池」続きはTELASAで,Regular,504.0,34427,2624,101,2025-12-24T23:00:54Z,0.9897959183673469,0.0,0.01020408163265306,0.01020408163265306
ajs55jJKm4U,Travis Japan - ‘Say I do’ - Dance Practice  -,Regular,386.0,393902,20089,3221,2025-12-24T21:00:07Z,0.98,0.0,0.02,0.02
KA4C71AFKro,#3 「Travis Japan の とらみみ」二人体制はこんな感じ！？,Regular,1314.0,42165,3094,72,2025-12-24T09:10:00Z,1.0,0.0,0.0,0.0
Y2Oyso_qlX8,Travis Japan【クリプレ交換会】100円ショップでメンバー必需品のアイテムをプレゼント！,Regular,1248.0,560522,19237,2535,2025-12-20T12:01:11Z,0.98,0.0,0.02,0.02
GMMqjhJt-3U,【JUST!シン日本遺産】シーズン２　# １１をちら見せ、「島根県が誇るスイーツ」続きはTELASAで,Regular,502.0,41789,3100,149,2025-12-17T23:00:20Z,0.98989898989899,0.0,0.010101010101010102,0.010101010101010102
cq51k6vKQqs,#2「Travis Japan の とらみみ」ってこんな番組！！,Regular,1386.0,49125,3834,78,2025-12-17T10:35:01Z,0.9342105263157895,0.013157894736842105,0.05263157894736842,0.06578947368421052
p7lDfENOAOs,Travis Japan【予備校開催】問題を読むだけなのにパニック！だいきょんこつって何！？,Regular,1454.0,553219,16170,2014,2025-12-13T12:01:44Z,1.0,0.0,0.0,0.0
069B97FOwxM,【JUST!シン日本遺産】シーズン２　# １０をちら見せ、「しず&まちゅ人生初の座禅修行」続きはTELASAで,Regular,647.0,53750,3838,242,2025-12-10T23:00:01Z,0.99,0.0,0.01,0.01
7otAy0fLlyM,#1 祝！Travis Japanのポッドキャスト番組スタート～番組タイトル決定会議！～,Regular,1260.0,71919,6754,221,2025-12-10T12:15:03Z,0.95,0.04,0.01,0.05
DtRVJaQLc5k,Travis Japan - 'Welcome To Our Show Tonight' - Dance Practice -,Regular,340.0,558595,21307,3132,2025-12-06T13:15:10Z,0.99,0.01,0.0,0.01
