title,published_at,view_count,like_count,comment_count,video_id
Travis Japan Concert Tour 2026 's travelersOSAKA-JO HALL Day2⚫️⚪️#TravisJapan #stravelers #陰ニモ日向ニモ,2026-03-29T13:01:06Z,144454,10442,96,y-fKuFviRZg
Travis Japan Concert Tour 2026 's travelersOSAKA-JO HALL Day1⚫️⚪️#TravisJapan #stravelers #陰ニモ日向ニモ,2026-03-29T12:00:31Z,177155,10989,142,ENDbf2-7GMs
Travis Japan【卓球】奥義炸裂で白熱の大混乱！賞品は自分の企画ができる権利！,2026-03-28T12:00:26Z,281301,13431,1576,CThn72A0WPQ
#松倉海斗 #Machu #陰ニモ日向ニモ 4.15.2026(Wed) 2nd CD Single Release #TravisJapan #ニモニモ,2026-03-27T12:01:01Z,81096,7782,156,clCEC64i2rU
Travis Japan【卓球】球技しようぜ！第三弾🏓　#TravisJapan #トラジャ #卓球 #球技,2026-03-27T12:00:52Z,133011,13222,327,dKiwNtbuRp4
#松田元太 #Genta #陰ニモ日向ニモ 4.15.2026(Wed) 2nd CD Single Release #TravisJapan #ニモニモ,2026-03-26T11:00:10Z,109491,7378,106,8Y61mg32Rjg
【JUST!シン日本遺産】シーズン２　最終話をちら見せ「下関と門司のシン日本遺産を探す関門海峡編後編！！門司にやってきた２人は、関門海峡について学べる施設でシン日本遺産を探す！！」続きはTELASAで,2026-03-25T23:00:39Z,46849,3674,191,UNJDM6ae5CA
#16 多分これまでのエピソードで...,2026-03-25T09:42:00Z,27954,2079,91,U6kePGULgHc
#吉澤閑也 #Shizu #陰ニモ日向ニモ 4.15.2026(Wed) 2nd CD Single Release #TravisJapan #ニモニモ,2026-03-24T11:01:46Z,112329,7047,239,yjfGhOkJcAc
#川島如恵留 #Noel #陰ニモ日向ニモ 4.15.2026(Wed) 2nd CD Single Release #TravisJapan #ニモニモ,2026-03-23T12:00:01Z,89842,7570,264,aMV8KLpuGm0
#七五三掛龍也 #Shime #陰ニモ日向ニモ 4.15.2026(Wed) 2nd CD Single Release #TravisJapan #ニモニモ,2026-03-22T11:00:38Z,87488,8386,157,OOUO_vGMIQA
Travis Japan【フットサル】げんたがコーチ❗️汗だくの真剣勝負‼️,2026-03-21T12:01:00Z,260590,14011,2002,WIIwE5YhduI
#中村海人 #Umi #陰ニモ日向ニモ 4.15.2026(Wed) 2nd CD Single Release #TravisJapan #ニモニモ,2026-03-21T11:00:22Z,125836,9150,223,Gdce5LKGppg
Travis Japan【フットサル】球技しようぜ！第二弾⚽️　#TravisJapan #トラジャ #フットサル #球技,2026-03-20T12:01:33Z,152734,15039,446,lb1lrao4z8Q
#宮近海斗#Chaka #陰ニモ日向ニモ 4.15.2026(Wed) 2nd CD Single Release #TravisJapan #ニモニモ,2026-03-20T11:00:51Z,116717,10185,181,RMipt4VlMCg
